,Sentence,Sentiment,Translated_Sentence
3457,Stora Enso 's target has been cut to EUR 4.85 from EUR 5.55 and Holmen 's target -- to SEK 135 from SEK 150 .,neutral,"Target Stora Enso telah dipotong menjadi EUR 4,85 dari EUR 5,55 dan target Holmen -- menjadi SEK 135 dari SEK 150."
3458,"As a condition to the deal , Savcor Alfa has to have bought Photonium and Akseli Lahtinen Inc. 's business operations prior to the deal .",neutral,"Sebagai syarat kesepakatan, Savcor Alfa harus membeli operasi bisnis Photonium dan Akseli Lahtinen Inc. sebelum kesepakatan."
3459,$SPY Don't hang your bull hat yet. Next week we will pop higher on QE3 hope on back of fed's 2 day meeting.,positive,$SPY Jangan gantung topi bantengmu dulu. Minggu depan kami akan naik lebih tinggi pada harapan QE3 di belakang pertemuan 2 hari Fed.
3460,Consolidated operating profit from continuing operations decreased by 62.3 % to EUR 51.2 mn from EUR 135.7 mn in 2007 .,negative,"Laba operasi konsolidasi dari operasi yang dilanjutkan turun 62,3% menjadi EUR 51,2 juta dari EUR 135,7 juta di tahun 2007 ."
3461,"The shares shall be repurchased through public trading , for which reason the shares are repurchased otherwise than in proportion to the holdings of the shareholders .",neutral,"Saham-saham tersebut akan dibeli kembali melalui perdagangan umum, untuk itu saham-saham yang dibeli kembali itu tidak sesuai dengan proporsi kepemilikan para pemegang saham."
3462,"The airline estimated that the cancellation of its flights due to the closure of European airspace , and the process of recommencing traffic , have caused a the company a loss of EUR20m , including the costs of stranded passengers ' accommodation .",neutral,"Maskapai memperkirakan bahwa pembatalan penerbangannya karena penutupan wilayah udara Eropa, dan proses dimulainya kembali lalu lintas, telah menyebabkan kerugian sebesar EUR20 juta bagi perusahaan, termasuk biaya akomodasi penumpang yang terdampar."
3463,"The transaction doubles Tecnomens workforse , and adds a fourth to their net sales .",positive,"Transaksi tersebut menggandakan tenaga kerja Tecnomens, dan menambahkan seperempat ke penjualan bersih mereka."
3464,"We warmly welcome him to Satama '' , states Jussi Lansio , chairman of the Board .",positive,"Kami dengan hangat menyambutnya di Satama'', kata Jussi Lansio, ketua Dewan."
3465,"The Web-Marela application handles invitations to quote , quote comparisons , agreements , purchases , invoice inspections , inventory management , and deliveries .",neutral,"Aplikasi Web-Marela menangani undangan penawaran, perbandingan penawaran, perjanjian, pembelian, inspeksi faktur, manajemen inventaris, dan pengiriman."
3466,"Cargotec 's brands , Hiab , Kalmar and MacGREGOR , are global market leaders in their fields and their solutions are used on land and at sea - wherever cargo is on the move .",neutral,"Merek Cargotec , Hiab , Kalmar dan MacGREGOR , adalah pemimpin pasar global di bidangnya dan solusi mereka digunakan di darat dan di laut - di mana pun kargo bergerak."
3467,"L+ñnnen Tehtaat 's Food Division was reorganised into two strategic business units , Apetit Frozen Foods and Jams , and Apetit Fish .",neutral,"Divisi Makanan L+ñnnen Tehtaat direorganisasi menjadi dua unit bisnis strategis, Apetit Frozen Foods and Jams, dan Apetit Fish."
3468,$TWTR sad the only thing to move this is a takeover rumor only to be sold off next day !,negative,$TWTR sedih satu-satunya hal yang bergerak ini adalah rumor pengambilalihan hanya untuk dijual hari berikutnya!
3469,Its other well-known brands include fitness equipment maker Precor and U.S. - based ball sports equipment maker Wilson .,neutral,"Merek terkenal lainnya termasuk pembuat peralatan kebugaran Precor dan pembuat peralatan olahraga bola yang berbasis di AS, Wilson."
3470,"Z. Bavelloni 's long-standing MD , Dino Bavelloni , has retired at the end of 2005 .",neutral,"MD lama Z. Bavelloni , Dino Bavelloni , telah pensiun pada akhir tahun 2005 ."
3471,The sellers were EOSS Innovationsmanagement and a group of private individuals .,neutral,Penjualnya adalah EOSS Innovationsmanagement dan sekelompok individu pribadi.
3472,"Net sales went up by 1 % year-on-year to EUR 29 million , affected by the business acquisitions , realized during the previous financial period , the effect of which was EUR 5.1 million on the review period .",positive,"Penjualan bersih naik 1% tahun-ke-tahun menjadi EUR 29 juta, dipengaruhi oleh akuisisi bisnis, yang direalisasikan selama periode keuangan sebelumnya, yang efeknya adalah EUR 5,1 juta pada periode peninjauan."
3473,"As a result , the company has decided it will implement fixed-term temporary lay-offs .",negative,"Alhasil, perusahaan memutuskan akan menerapkan pemutusan hubungan kerja sementara."
3474,`` Those uncertainties cloud the long-term outlook . '',negative,`` Ketidakpastian itu mengaburkan prospek jangka panjang. ''
3475,Elcoteq expects its net sales for the last quarter of 2010 to be on the level of the third quarter .,neutral,Elcoteq memperkirakan penjualan bersih untuk kuartal terakhir 2010 akan berada di level kuartal ketiga.
3476,"The company 's annual loss amounted to EEK 18mn , compared to a profit of EEK 7.3 mn in 2008 .",negative,"Kerugian tahunan perusahaan sebesar EEK 18mn , dibandingkan dengan laba EEK 7,3 juta di tahun 2008 ."
3477,The mill is concentrating on getting the supercalendered line running satisfactorily before restarting its older newsprint line .,neutral,Pabrik tersebut berkonsentrasi untuk membuat jalur supercalendered berjalan dengan memuaskan sebelum memulai kembali jalur kertas koran yang lebih tua.
3478,Aktia forecasts Finland 's inflation at 1.1 % in 2010 .,neutral,"Aktia memperkirakan inflasi Finlandia sebesar 1,1% pada tahun 2010 ."
3479,KONE is listed on the Nordic Exchange in Helsinki .,neutral,KONE terdaftar di Bursa Nordik di Helsinki .
3480,Finnish fibre-based materials maker Ahlstrom Corp ( HEL : AHL1V ) said today it decided to close down its spunlace composite production line number 23 at Chirnside plant in the UK by the end of March 2011 .,neutral,Produsen bahan berbasis serat Finlandia Ahlstrom Corp ( HEL : AHL1V ) mengatakan hari ini memutuskan untuk menutup lini produksi komposit spunlace nomor 23 di pabrik Chirnside di Inggris pada akhir Maret 2011 .
3481,Subject-matter of the invention furthermore is the use of the cyclone for separating partly molten particles . '',neutral,Subyek penemuan selanjutnya adalah penggunaan siklon untuk memisahkan sebagian partikel cair. ''
3482,Rautaruukki said construction group YIT has awarded it a 2.5 mln eur contract to supply the steel structures for a new bridge spanning the Kemijoki river in Northern Finland .,positive,"Rautaruukki mengatakan kelompok konstruksi YIT telah memberikan kontrak 2,5 juta euro untuk memasok struktur baja untuk jembatan baru yang membentang di sungai Kemijoki di Finlandia Utara."
3483,Long $TSLA short $MBLY https://t.co/jSpUSzo6na,positive,$TSLA panjang pendek $MBLY https://t.co/jSpUSzo6na
3484,"Also , Technopolis plans to build a 100 million euro technology park at the special economic zone Neudorf in St. Petersburg , the St. Petersburg government said in February .",neutral,"Juga, Technopolis berencana untuk membangun taman teknologi 100 juta euro di zona ekonomi khusus Neudorf di St. Petersburg, kata pemerintah St. Petersburg pada Februari."
3485,"Lassila & Tikanoja 's operating profit excluding non-recurring and imputed items for the second quarter was EUR11 .3 m , down from EUR13 .8 m a year ago .",negative,"Laba operasi Lassila & Tikanoja tidak termasuk item yang tidak berulang dan diperhitungkan untuk kuartal kedua adalah EUR11,3 juta, turun dari EUR13,8 juta tahun lalu."
3486,Castecka said the town hall would hold talks with other investors interested in the zone .,neutral,Castecka mengatakan balai kota akan mengadakan pembicaraan dengan investor lain yang tertarik dengan zona tersebut.
3487,"The technology will become available to businesses from the fourth quarter , Nokia said .",neutral,"Teknologi ini akan tersedia untuk bisnis mulai kuartal keempat, kata Nokia."
3488,"London open: Taylor Wimpey and Ashtead drive markets higher, Barclays falls",positive,"Pembukaan London: Taylor Wimpey dan Ashtead mendorong pasar lebih tinggi, Barclays jatuh"
3489,BULLISH Engulfing of COCA COLA: http://stks.co/fYCo $KO,positive,BULLISH Engulfing dari COCA COLA: http://stks.co/fYCo $KO
3490,"The study was not designed to enable formal statistical evaluation of therapeutic activity , the company said .",neutral,"Studi itu tidak dirancang untuk memungkinkan evaluasi statistik formal dari aktivitas terapeutik, kata perusahaan itu."
3491,"Upon completion of these transactions , Metso 's stake will amount to more than 60 % .",neutral,"Setelah menyelesaikan transaksi ini, saham Metso akan berjumlah lebih dari 60%."
3492,"Mika Stahlberg , VP F-Secure Labs , said , `` We are excited and proud that F-Secure has been recognized by AV-Comparatives as the Product of the Year .",positive,"Mika Stahlberg, VP F-Secure Labs, mengatakan, `` Kami sangat senang dan bangga bahwa F-Secure telah diakui oleh AV-Comparatives sebagai Product of the Year."
3493,"MADISON , Wis. , Feb. 6 - PRNewswire - -- Fiskars announces that the United States Patent and Trademark Office has granted a trademark registration for the color orange on its iconic scissor handles .",positive,"MADISON, Wis., 6 Februari-PRNewswire--- Fiskars mengumumkan bahwa Kantor Paten dan Merek Dagang Amerika Serikat telah memberikan pendaftaran merek dagang untuk warna oranye pada gagang gunting ikoniknya."
3494,Both companies ' existing investment plans will be coordinated .,neutral,Rencana investasi kedua perusahaan yang ada akan dikoordinasikan.
3495,#NDX component Tesla has announced it is recalling 2700 Model X SUVs. $TSLA,negative,Komponen #NDX Tesla telah mengumumkan penarikan kembali 2700 Model X SUV. $TSLA
3496,Finnish messaging solutions developer Tecnomen Corporation ( OMX Helsinki : TEM1V ) said on Thursday ( 11 December ) that it has received an expansion order for its Convergent Charging solution in Latin America .,positive,Pengembang solusi pesan Finlandia Tecnomen Corporation ( OMX Helsinki : TEM1V ) mengatakan pada hari Kamis ( 11 Desember ) bahwa mereka telah menerima pesanan perluasan untuk solusi Pengisian Konvergen di Amerika Latin .
3497,Operating profit improved by 39.9 % to EUR 18.0 mn from EUR12 .8 mn .,positive,"Laba operasional meningkat sebesar 39,9% menjadi EUR 18,0 juta dari EUR12,8 juta."
3498,The value of the contract is about EUR 27mn .,neutral,Nilai kontraknya sekitar EUR 27 juta.
3499,The parties have therefore agreed to leave Avena out of the deal .,neutral,"Oleh karena itu, para pihak setuju untuk meninggalkan Avena dari kesepakatan."
3500,"The company has also supplied more than 200 MW of power generating equipment for a number of projects in Papua New Guinea , including 12 engines of the Wartsila 32 type to Lihir Gold .",neutral,"Perusahaan juga telah memasok lebih dari 200 MW peralatan pembangkit listrik untuk sejumlah proyek di Papua Nugini, termasuk 12 mesin tipe Wartsila 32 ke Lihir Gold."
3501,"In addition to fireplace exports , demand for lining stone has exceeded the level of the earlier part of the year and will continue to be clearly brisker for the remainder of the year .",positive,"Selain ekspor perapian, permintaan untuk batu lapisan telah melampaui tingkat awal tahun ini dan akan terus meningkat hingga sisa tahun ini."
3502,Companies Thetrainline.com announces arrival of London IPO,positive,Perusahaan Thetrainline.com mengumumkan kedatangan IPO London
3503,"A Flurry Analytics spokesperson said that , as it was only measuring Windows Phone 7 data for some weeks , the firm double-checked the data to make sure the 66 per cent rise was not an aberration .",neutral,"Seorang juru bicara Flurry Analytics mengatakan bahwa, karena hanya mengukur data Windows Phone 7 selama beberapa minggu, perusahaan memeriksa ulang data untuk memastikan kenaikan 66 persen bukanlah penyimpangan."
3504,Pharmaceuticals - Italy This brand-new market analysis gives a clear overview of the actual situation and future outlook of the pharmaceutical market in Italy .,neutral,Pharmaceuticals - Italia Analisis pasar baru ini memberikan gambaran yang jelas tentang situasi aktual dan prospek masa depan pasar farmasi di Italia .
3505,Swedbank 's shares have been hardest hit of the Swedish banks by the ongoing international financial crisis .,neutral,Saham Swedbank paling terpukul dari bank-bank Swedia oleh krisis keuangan internasional yang sedang berlangsung.
3506,"Growth was strongest in F-Secure 's operator ISPs , mobile operators and cable operators business .",positive,"Pertumbuhan terkuat terjadi di ISP operator F-Secure, operator seluler, dan bisnis operator kabel."
3507,"Talvik says the relocation of application programs on servers will continue , while HP servers were approved because of HP supplying a tailor-made solution to Elisa .",neutral,"Talvik mengatakan relokasi program aplikasi di server akan terus berlanjut, sementara server HP disetujui karena HP menyediakan solusi yang dibuat khusus untuk Elisa."
3508,Gunneflo will be responsible of Oriola-KD 's Pharmaceutical Trade business in Sweden .,neutral,Gunneflo akan bertanggung jawab atas bisnis Perdagangan Farmasi Oriola-KD di Swedia.
3509,"Samsung currently occupies third place and lost ground during the quarter , dropping by 1.8 % to an 11.1 % share overall .",negative,"Samsung saat ini menempati posisi ketiga dan kehilangan posisi selama kuartal tersebut, turun 1,8% menjadi 11,1% secara keseluruhan."
3510,"Last week , the Finnish metals and technology group announced plans to sell more than 80 percent of its technology unit to further the company 's strategic goal of becoming the world 's largest stainless steel maker .",positive,"Pekan lalu, grup logam dan teknologi Finlandia mengumumkan rencana untuk menjual lebih dari 80 persen unit teknologinya untuk memajukan tujuan strategis perusahaan menjadi pembuat baja nirkarat terbesar di dunia."
3511,"In the second quarter of 2010 , the group 's net profit rose to EUR 3.1 million from EUR 2.5 million in April-June 2009 .",positive,"Pada kuartal kedua 2010, laba bersih grup naik menjadi EUR 3,1 juta dari EUR 2,5 juta pada April-Juni 2009 ."
3512,Travel expenses would be reimbursed in accordance with the travel policy of the company .,neutral,Biaya perjalanan akan diganti sesuai dengan kebijakan perjalanan perusahaan.
3513,"Pretax profit totalled EUR 80.8 mn , compared to a loss of EUR 13.1 mn in the corresponding period in 2009 .",positive,"Laba sebelum pajak berjumlah EUR 80,8 juta , dibandingkan dengan kerugian EUR 13,1 juta pada periode yang sama tahun 2009 ."
3514,11 August 2010 - Finnish measuring equipment maker Vaisala Oyj HEL : VAIAS said today that its net loss widened to EUR4 .8 m in the first half of 2010 from EUR2 .3 m in the corresponding period a year earlier .,neutral,"11 Agustus 2010 - Pembuat alat ukur Finlandia Vaisala Oyj HEL ​​: VAIAS hari ini mengatakan bahwa kerugian bersihnya melebar menjadi EUR4,8 m pada paruh pertama tahun 2010 dari EUR2,3 m pada periode yang sama tahun sebelumnya ."
3515,Supreme Court Upholds $236 Million Jury Award Against ExxonMobil,negative,Mahkamah Agung Mengangkat Penghargaan Juri senilai $236 Juta Terhadap ExxonMobil
3516,"Of the price , Kesko 's share is 10 mln euro $ 15.5 mln and it will recognize a gain of 4.0 mln euro $ 6.2 mln on the disposal which will be included in the result for the second quarter of 2008 .",positive,"Dari harga , bagian Kesko adalah 10 juta euro $ 15,5 juta dan akan mengakui keuntungan 4,0 juta euro $ 6,2 juta pada pelepasan yang akan dimasukkan dalam hasil untuk kuartal kedua 2008 ."
3517,The purchase sum is about EUR 10mn US$ 12.97 mn .,neutral,"Jumlah pembelian sekitar EUR 10 juta US$ 12,97 juta."
3518,The purpose of this action is to ensure company 's cost effectiveness this year and in the near future .,positive,Tujuan dari tindakan ini adalah untuk memastikan efektivitas biaya perusahaan tahun ini dan dalam waktu dekat.
3519,"In food trade , sales amounted to EUR320 .1 m , a decline of 1.1 % .",neutral,"Dalam perdagangan makanan , penjualan sebesar EUR320 ,1 m , penurunan 1,1% ."
3520,Long $PCLN,positive,$PCLN panjang
3521,"The company expects its net sales for the whole of 2007 to be EUR 950mn-1 ,000 mn .",neutral,"Perusahaan mengharapkan penjualan bersih untuk keseluruhan tahun 2007 menjadi EUR 950mn-1,000 mn."
3522,Apple Inc.: The Rip-Roaring Rally Is Just Beginning! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9,positive,Apple Inc.: Reli Rip-Roaring Baru Dimulai! (AAPL) | InvestorPlace $AAPL https://t.co/jrcFC8XlY9
3523,"Purchase it for the 12MP snapper , if nothing else .",neutral,"Beli untuk kakap 12MP, jika tidak ada yang lain."
3524,Upon completion of the deal Panostaja will establish a new business area within the group to focus on heat treatment of metals .,neutral,"Setelah kesepakatan selesai, Panostaja akan membangun area bisnis baru di dalam grup untuk fokus pada perlakuan panas logam."
3525,Diageo Sells Ryder Cup Venue Gleneagles Hotel to Ennismore Group,positive,Diageo Menjual Ryder Cup Venue Gleneagles Hotel ke Ennismore Group
3526,M. and a Master of Business Administration MBA .,neutral,M. dan Magister Administrasi Bisnis MBA.
3527,"RT @joemccann the correleation between the dollar index and $SPY is simply amazing. $DX finds support, $SPY retreats like clockwork",negative,"RT @joemccann korelasi antara indeks dolar dan $SPY sungguh menakjubkan. $DX menemukan dukungan, $SPY mundur seperti jarum jam"
3528,Profit after taxes totaled EUR 12.1 mn .,neutral,"Laba setelah pajak berjumlah EUR 12,1 juta ."
3529,"Operating loss totalled EUR 4.0 mn , compared to a profit of EUR 8.6 mn in the second quarter of 2008 .",negative,"Kerugian operasional mencapai EUR 4,0 juta , dibandingkan dengan laba EUR 8,6 juta pada kuartal kedua 2008 ."
3530,"Finnish Scanfil , a systems supplier and contract manufacturer to the communications sector and the electronics industry , reports its net sales totalled EUR 94.7 mn in the first half of 2010 , down from EUR 99.5 mn in the first half of 2009 .",negative,"Scanfil Finlandia , pemasok sistem dan produsen kontrak untuk sektor komunikasi dan industri elektronik , melaporkan penjualan bersihnya mencapai EUR 94,7 juta pada paruh pertama tahun 2010 , turun dari EUR 99,5 juta pada paruh pertama tahun 2009 ."
3531,Whitbread buys 49% stake in Pure food chain,positive,Whitbread membeli 49% saham di rantai makanan Murni
3532,` By separating side businesses we will be able to faster expand and develop Tapro retail network .,positive,`Dengan memisahkan usaha sampingan kami akan dapat lebih cepat memperluas dan mengembangkan jaringan ritel Tapro.
3533,"Sudden optimism about iPhone sales (i.e., not as bad as expected) gives Apple $AAPL a lift.  https://t.co/oKTCw4YiB5",positive,"Optimisme yang tiba-tiba tentang penjualan iPhone (yaitu, tidak seburuk yang diharapkan) memberi Apple $AAPL kenaikan. https://t.co/oKTCw4YiB5"
3534,"According to the company , in addition to normal seasonal fluctuation the market situation has weakened during autumn 2008 .",neutral,"Menurut perusahaan , selain fluktuasi musiman yang normal , situasi pasar telah melemah selama musim gugur 2008 ."
3535,The company 's previous estimate was for a lower revenue than the year-ago EUR 93.9 million .,negative,"Estimasi perusahaan sebelumnya adalah untuk pendapatan yang lebih rendah dari tahun lalu EUR 93,9 juta."
3536,"Operating loss totalled EUR 12.7 mn , compared to a profit of EUR 17.7 mn in the first half of 2008 .",negative,"Kerugian operasional mencapai EUR 12,7 juta , dibandingkan dengan laba EUR 17,7 juta pada paruh pertama tahun 2008 ."
3537,"According to Scanfil , demand for telecommunications network products has fluctuated significantly in the third quarter of 2006 , and the situation is expected to remain unstable for the rest of the year .",negative,"Menurut Scanfil, permintaan produk jaringan telekomunikasi telah berfluktuasi secara signifikan pada kuartal ketiga tahun 2006, dan situasinya diperkirakan akan tetap tidak stabil untuk sisa tahun ini."
3538,The stock was hit by the profit warning of Finnish rival Rautaruukki Oyj ( OMX : RTRKS ) .,negative,Saham tersebut terkena peringatan keuntungan dari saingan Finlandia Rautaruukki Oyj ( OMX : RTRKS ) .
3539,"Net sales of Finnish Sanoma Learning & Literature , of Finnish media group Sanoma , decreased by 3.6 % in January-June 2009 totalling EUR 162.8 mn , down from EUR 168.8 mn in the corresponding period in 2008 .",negative,"Penjualan bersih Finnish Sanoma Learning & Literature , dari grup media Finlandia Sanoma , turun 3,6 % pada Januari-Juni 2009 dengan total EUR 162,8 juta , turun dari EUR 168,8 juta pada periode yang sama tahun 2008 ."
3540,"Arto Ryymin , born 1964 , will replace Juhani Kaisanlahti who has worked as acting EVP , Healthcare & Welfare since August 2007 .",neutral,"Arto Ryymin , kelahiran 1964 , akan menggantikan Juhani Kaisanlahti yang menjabat sebagai EVP , Healthcare & Welfare sejak Agustus 2007 ."
3541,"$TXRH reports Q1 EPS of $0.37 versus the estimated $0.35, beating by $0.02. EPS were Up 19% from the same quarter last year.",positive,"$TXRH melaporkan EPS Q1 sebesar $0,37 versus perkiraan $0,35, mengalahkan $0,02. EPS naik 19% dari kuartal yang sama tahun lalu."
3542,@Megaas2000 $AAPL McDonalds had a big GROWING success for years with the same BigMac and Apple update and improbe Iphone and Ipad,positive,@Megaas2000 $AAPL McDonalds memiliki kesuksesan TUMBUH besar selama bertahun-tahun dengan pembaruan BigMac dan Apple yang sama dan menyelidiki Iphone dan Ipad
3543,The acquisition will considerably increase Kemira 's sales and market position in the Russian metal industry coatings market .,positive,Akuisisi ini akan sangat meningkatkan penjualan Kemira dan posisi pasar di pasar pelapis industri logam Rusia.
3544,The Remote Radio head module will be available at 4W power for 2.5 GHz and 3.5 GHz TDD frequency bands .,neutral,"Modul kepala Radio Jarak Jauh akan tersedia pada daya 4W untuk pita frekuensi TDD 2,5 GHz dan 3,5 GHz."
3545,Finnish forest machinery manufacturer Ponsse 's net sales grew to EUR 51.3 mn in the first quarter of 2010 from EUR 37.5 mn in the corresponding period in 2009 .,positive,"Penjualan bersih produsen mesin hutan Finlandia Ponsse tumbuh menjadi EUR 51,3 juta pada kuartal pertama tahun 2010 dari EUR 37,5 juta pada periode yang sama di tahun 2009 ."
3546,`` The lowering of prices by us and by our competitors shows that the real estate market has stabilised and returned into balance and apartments are acquiring a fair price in the eyes of our clients .,positive,`` Penurunan harga oleh kami dan pesaing kami menunjukkan bahwa pasar real estat telah stabil dan kembali seimbang dan apartemen memperoleh harga yang wajar di mata klien kami.
3547,"Satama 's net profit for the third quarter of 2007 rose to 275,000 euro ( $ 395,000 ) from 270,000 euro ( $ 388,000 ) for the same period of 2006 .",positive,Laba bersih Satama untuk kuartal ketiga 2007 naik menjadi 275.000 euro ($ 395.000) dari 270.000 euro ($ 388.000) untuk periode yang sama tahun 2006.
3548,"The natural source of isoprene is the tree species Hevea brasiliensis , also known as the rubber tree .",neutral,"Sumber alami isoprena adalah jenis pohon Hevea brasiliensis, juga dikenal sebagai pohon karet."
3549,"According to Finnair Technical Services , the measure is above all due to the employment situation .",neutral,"Menurut Finnair Technical Services, tindakan tersebut terutama disebabkan oleh situasi ketenagakerjaan."
3550,This would be a huge process .,neutral,Ini akan menjadi proses yang sangat besar.
3551,$GPRO down 25% since Tue morning.,negative,$GPRO turun 25% sejak Selasa pagi.
3552,"LONDON AFX - Shares in Rautaruukki Corp have been upgraded to ` hold ' from ` sell ' by ABN Amro , with the price target raised to 25.75 eur from 14.5 , said dealers .",positive,"LONDON AFX-Saham di Rautaruukki Corp telah ditingkatkan menjadi 'hold' dari 'sell' oleh ABN Amro, dengan target harga dinaikkan menjadi 25,75 eur dari 14,5, kata dealer."
3553,Operating profit decreased to EUR 16mn from EUR 21.1 mn in 2008 .,negative,"Laba operasional turun menjadi EUR 16 juta dari EUR 21,1 juta di tahun 2008 ."
3554,"The Costanza light , with an aluminum base and washable shade , comes in white , pistachio , orange , blue and red .",neutral,"Lampu Costanza , dengan dasar aluminium dan warna yang dapat dicuci , hadir dalam warna putih , pistachio , oranye , biru dan merah ."
3555,The solution will be installed in the USA to support the North American operations of the customer .,neutral,Solusinya akan dipasang di AS untuk mendukung operasi pelanggan di Amerika Utara.
3556,LSC 's 30 employees will move to Ixonos with their existing status and benefits .,neutral,30 karyawan LSC akan pindah ke Ixonos dengan status dan tunjangan yang ada.
3557,Raffles Equities Ltd became a substantial holder in Archer Exploration Ltd on January 12 with 11.7 million shares ( 18.2 pc ) .,neutral,"Raffles Equities Ltd menjadi pemegang substansial di Archer Exploration Ltd pada 12 Januari dengan 11,7 juta saham (18,2 pc)."
3558,Finnish Bank of +àland reports its operating profit fell to EUR 4.9 mn in the third quarter of 2007 from EUR 5.6 mn in the third quarter of 2006 .,neutral,"Finnish Bank of +àland melaporkan laba operasinya turun menjadi EUR 4,9 juta pada kuartal ketiga 2007 dari EUR 5,6 juta pada kuartal ketiga 2006 ."
3559,Baird Upgrades Tesla Motors $TSLA to Outperform https://t.co/1FA6aTOqlw,positive,Baird Meningkatkan Tesla Motors $TSLA untuk Mengungguli https://t.co/1FA6aTOqlw
3560,Raute said it has won an order worth around 15 mln eur to supply several plywood production lines to mills operated by Russian wood products company Sveza Group .,positive,Raute mengatakan telah memenangkan pesanan senilai sekitar 15 juta euro untuk memasok beberapa jalur produksi kayu lapis ke pabrik yang dioperasikan oleh perusahaan produk kayu Rusia Sveza Group.
3561,"Metso Oyj said it has sold its spreader roll manufacturing business and related assets in the town of Nokia , southern Finland , to a group of Finnish investors , who will operate the business under the name of Finbow Oy .",neutral,"Metso Oyj mengatakan telah menjual bisnis manufaktur spreader roll dan aset terkait di kota Nokia, Finlandia selatan, kepada sekelompok investor Finlandia, yang akan menjalankan bisnis dengan nama Finbow Oy."
3562,The combined value of the orders is EUR 45mn .,neutral,Nilai gabungan dari pesanan adalah EUR 45jt .
3563,Tekla Group 's net sales for 2006 were approximately 50 million euros and operating result 13.6 million euros .,neutral,"Penjualan bersih Tekla Group untuk tahun 2006 sekitar 50 juta euro dan hasil operasi 13,6 juta euro."
3564,"Kai Tulonen , Chief Technology Officer , SysOpen Digia says : `` We have been using Corporate Phonebook inside SysOpen Digia extensively since last fall , and we have been very satisfied with the results .",positive,"Kai Tulonen, Chief Technology Officer, SysOpen Digia berkata: `` Kami telah menggunakan Buku Telepon Perusahaan di dalam SysOpen Digia secara ekstensif sejak musim gugur yang lalu, dan kami sangat puas dengan hasilnya."
3565,"Enclosed is Affecto 's call for Extraordinary General Meeting to be held on July 10th where the main agenda is to approve the authorization to the Board for the proposed share issue related to the Component Software acquisition , and to elect Haakon Skaarer to the Affecto board .",neutral,"Terlampir adalah panggilan Affecto untuk Rapat Umum Luar Biasa yang akan diadakan pada 10 Juli di mana agenda utama adalah untuk menyetujui otorisasi kepada Dewan untuk masalah saham yang diusulkan terkait dengan akuisisi Perangkat Lunak Komponen, dan untuk memilih Haakon Skaarer ke dewan Affecto."
3566,Earnings per share ( EPS ) in 2005 decreased to EUR1 .87 from EUR1 .89 in 2003 .,negative,"Laba per saham (EPS) pada tahun 2005 turun menjadi EUR1,87 dari EUR1,89 pada tahun 2003."
3567,"As of July 2 , 2007 , the market cap segments will be updated according to the average price in May 2007 .",neutral,"Mulai 2 Juli 2007 , segmen kapitalisasi pasar akan diperbarui sesuai dengan harga rata - rata Mei 2007 ."
3568,@REC_Zakaria Monday Bulls Are Out! Stock Ticker- Michael James Ent. Other picks $SBUX $GVP $NKE,positive,@REC_Zakaria Senin Banteng Keluar! Stock Ticker- Michael James Ent. Pilihan lain $SBUX $GVP $NKE
3569,The Group aims to increase its net sales and comparable operating profit in 2006 .,positive,Grup bertujuan untuk meningkatkan penjualan bersih dan laba operasi yang sebanding di tahun 2006 .
3570,"Cencorp 's net sales in the first quarter is estimated to be EUR0.9-1 .2 m , as compared to EUR4 .5 m in the first quarter 2008 .",negative,"Penjualan bersih Cencorp pada kuartal pertama diperkirakan EUR0,9-1,2 m, dibandingkan dengan EUR4,5 juta pada kuartal pertama 2008."
3571,A paper mill in the central Maine town of Madison soon will have a new owner .,neutral,Sebuah pabrik kertas di pusat kota Maine Madison akan segera memiliki pemilik baru.
3572,"The offer of some 30 million shares aimed to raise more than  x20ac 500 million US$ 640 million , was expected to be completed by Oct. 9 , Outokumpu said .",neutral,"Penawaran sekitar 30 juta saham yang bertujuan untuk mengumpulkan lebih dari x20ac 500 juta US$ 640 juta, diharapkan selesai pada 9 Oktober, kata Outokumpu."
3573,Efore 's results for the last quarter showed an even faster improvement as the company managed to better source its components .,positive,Hasil Efore untuk kuartal terakhir menunjukkan peningkatan yang lebih cepat karena perusahaan berhasil mendapatkan sumber komponennya dengan lebih baik.
3574,"The company designs , manufactures and markets high-quality clothing , interior decoration textiles , bags and other accessories .",neutral,"Perusahaan mendesain, memproduksi dan memasarkan pakaian berkualitas tinggi, tekstil dekorasi interior, tas dan aksesoris lainnya."
3575,"CDP was established on the initiative of institutional investors ; however , the annually published results also interest an increasing number of customers and other interest groups of the reporting companies .",neutral,"CDP didirikan atas prakarsa investor institusional; namun, hasil yang dipublikasikan setiap tahun juga menarik minat semakin banyak pelanggan dan kelompok kepentingan lain dari perusahaan pelapor."
3576,"In accordance with our strategy , we strengthened our local presence by establishing a representative office in South Africa in October .",positive,"Sesuai dengan strategi kami, kami memperkuat kehadiran lokal kami dengan mendirikan kantor perwakilan di Afrika Selatan pada bulan Oktober."
3577,"Casinos red before the bell: $LVS -0.75%, $WYNN -0.47%, $WYNN -0.47% > unusual comibinations of what's running, what's red before the bell",negative,"Kasino merah sebelum bel: $LVS -0,75%, $WYNN -0,47%, $WYNN -0,47% > kombinasi yang tidak biasa dari apa yang sedang berjalan, apa yang merah sebelum bel"
